Pregunta;Esperada;C3_BM25_Resp;C3_Eval;C4_VECT_Resp;C4_Eval
¿En qué fecha exacta se lanzó sin tripulación la misión Artemis I de la NASA?;El 16 de noviembre de 2022.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Para qué mes y año está previsto ahora el lanzamiento de la misión Artemis II tras su aplazamiento?;Para abril de 2026.; No tengo información suficiente en mis archivos.;INCORRECTO; El lanzamiento de Artemis II está previsto para abril de 2026.;CORRECTO
¿Qué modelo de trajes espaciales usarán los astronautas de la misión Artemis III en la superficie lunar?;Los trajes AxEMU.; Los astronautas de la misión Artemis III usarán trajes espaciales de última generación, como los AxEMU.;CORRECTO; Los astronautas de la misión Artemis III utilizarán trajes espaciales de última generación, como los AxEMU.;CORRECTO
¿En qué estado de Estados Unidos se encuentra el Centro Marshall donde los ingenieros de la NASA han realizado simulaciones acústicas?;En Alabama.; No tengo información suficiente en mis archivos.;INCORRECTO; El Centro Marshall donde los ingenieros de la NASA han realizado simulaciones acústicas se encuentra en Alabama.;CORRECTO
Según la NASA, ¿dónde caerá exactamente la nave Orión al regresar a la Tierra tras la misión Artemis II?;En el Pacífico oriental, cerca de la costa de la ciudad de San Diego.; La nave Orión caerá en el Pacífico oriental, cerca de la costa de la ciudad estadounidense de San Diego.;CORRECTO; La nave Orión caerá en el Pacífico oriental, cerca de la costa de la ciudad estadounidense de San Diego.;CORRECTO
Según la consultora Drewry, ¿qué porcentaje exacto se elevó el flete de transporte marítimo entre Shanghái y Róterdam de enero a junio de 2024?;Un 233%.; El porcentaje exacto que se elevó el flete de transporte marítimo entre Shanghái y Róterdam de enero a junio de 2024 es del 37%.;INCORRECTO; El porcentaje exacto que se elevó el flete de transporte marítimo entre Shanghái y Róterdam de enero a junio de 2024, según la consultora Drewry, es del 170%.;INCORRECTO
Debido al desvío de barcos por el Cabo de Buena Esperanza, ¿cuántas millas náuticas se incrementa el trayecto entre Shanghái y Génova?;4.878 millas.; No tengo información suficiente en mis archivos.;INCORRECTO; No hay información en el texto proporcionado que indique el incremento exacto en millas náuticas entre Shanghái y Génova debido al desvío por el Cabo de Buena Esperanza.;INCORRECTO
¿Cuál fue la única de las 10 principales navieras mundiales que registró pérdidas durante el inicio de la crisis del Mar Rojo en 2024?;Maersk.; La única de las 10 principales navieras mundiales que registró pérdidas durante el inicio de la crisis del Mar Rojo en 2024 fue Maersk.;CORRECTO; La única de las 10 principales navieras mundiales que registró pérdidas durante el inicio de la crisis del Mar Rojo en 2024 fue la naviera danesa Maersk.;CORRECTO
De acuerdo con el Banco de España, ¿cuál fue el porcentaje de retroceso de las ventas minoristas en la zona euro durante el año 2023?;Un 1% (un punto porcentual).; No hay información en el texto proporcionado que indique el porcentaje de retroceso de las ventas minoristas en la zona euro durante el año 2023.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Cuánto tiempo duró el atasco provocado por el megabuque Ever Given en el Canal de Suez en el año 2021?;Seis días.; El atasco provocado por el megabuque Ever Given en el Canal de Suez duró seis días.;CORRECTO; El atasco provocado por el megabuque Ever Given en el Canal de Suez duró aproximadamente una semana.;INCORRECTO
¿Cuál fue el índice de precios al consumidor (IPC) exacto registrado en Argentina durante el mes de diciembre de 2023?;Un 25,5%.; No tengo información suficiente en mis archivos.;INCORRECTO; El IPC en Argentina se situó en diciembre en el 211,4% interanual después de crecer un 25,5% en comparación con noviembre.;CORRECTO
Según el INDEC, ¿cuál fue la cifra oficial de inflación en Argentina correspondiente al mes de diciembre de 2024?;Un 2,7%.; La cifra oficial de inflación en Argentina correspondiente al mes de diciembre de 2024 fue del 25.5 por ciento mensual.;INCORRECTO; La cifra oficial de inflación en Argentina correspondiente al mes de diciembre de 2024 fue del 211,4%.;INCORRECTO
¿A qué porcentaje de la población argentina alcanzó la pobreza durante el primer semestre de 2024?;Al 52,9%.; La pobreza alcanzó el 38.1% de la población argentina durante el primer semestre de 2024.;INCORRECTO; La pobreza en Argentina alcanzó al 52.9% de la población durante el primer semestre de 2024.;CORRECTO
