Pregunta,Esperada,Respuesta_Generada,Evaluacion
¿A cuanto llego a subir Trump los aranceles a China?,145%., 145%,CORRECTO
¿Cuánto dinero perdió Elon Musk tras el anuncio de los aranceles?,17.800 millones de dólares en dos días.," Según el texto, Elon Musk perdió 17.800 millones de dólares tras el anuncio de los aranceles.",CORRECTO
¿Qué opinó el Rey de España sobre los aranceles de Trump a China?,No tengo información suficiente en mis archivos., No hay información en el texto proporcionado sobre las opiniones del Rey de España sobre los aranceles de Trump a China.,CORRECTO
¿Qué declaraciones hizo Elon Musk sobre los aranceles de donald Trump a China?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿Qué relación quiere Elon Musk entre Estados Unidos y Europa según sus declaraciones en Italia?,Quiere una zona de libre comercio con aranceles cero.," Según las declaraciones de Elon Musk en Italia, quiere una relación entre Estados Unidos y Europa caracterizada por una mayor libertad de movimiento y comercio, con la esperanza de que ambos continentes avancen hacia una situación de arancel cero, creando así una zona de libre comercio entre ellos.",CORRECTO
¿Qué presidente firmó un decreto para centralizar la regulación de la inteligencia artificial?,Donald Trump., Donald Trump,CORRECTO
¿Por qué Donald Trump quiere quitar a los estados el derecho a regular la inteligencia artificial por su cuenta?,Debe haber un único manual si queremos seguir liderando en inteligencia artificial, Donald Trump quiere quitar a los estados el derecho a regular la inteligencia artificial por su cuenta porque cree que es una actividad vital para el dominio mundial de Estados Unidos y que debe haber un único manual para seguir liderando en inteligencia artificial.,CORRECTO
¿Qué opinó Felipe González sobre el decreto de inteligencia artificial de Trump?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿Por cuántas temporadas ha fichado Kylian Mbappé con el Real Madrid?,Por cinco temporadas., Cinco temporadas.,CORRECTO
¿Por qué el artículo de El País dice que el comunicado del fichaje de Mbappé cayó en medio de una resaca emocional?,Porque el anuncio se hizo menos de 24 horas después de que terminaran las celebraciones por la 15ª Copa de Europa del Real Madrid., No tengo información suficiente en mis archivos.,INCORRECTO
