Pregunta;Respuesta_Esperada;RAG_Final_Resp;Evaluacion_Juez
¿A cuanto llego a subir Trump los aranceles a China?;145%.;Según la información proporcionada, Trump elevó los aranceles a China hasta el 145%.;CORRECTO
¿Cuánto dinero perdió Elon Musk tras el anuncio de los aranceles?;17.800 millones de dólares.;Según el texto, Elon Musk perdió 17.800 millones de dólares en solo dos jornadas después de que Trump anunciara su paquete arancelario. Además, se menciona que en total, la caída del patrimonio personal de Musk ha sido de más de 63.000 millones de euros en este 2025. Sin embargo, en la otra noticia se menciona que Musk ha perdido alrededor de 31.000 millones de dólares.;CORRECTO
¿Qué opinó el Rey de España sobre los aranceles de Trump a China?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué declaraciones hizo Elon Musk sobre los aranceles de donald Trump a China?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué relación quiere Elon Musk entre Estados Unidos y Europa según sus declaraciones en Italia?;Quiere una zona de libre comercio con aranceles cero.;"Según sus declaraciones en Italia, Elon Musk espera que haya una completa libertad de comercio entre Estados Unidos y Europa, avanzando hacia una situación de ""arancel cero"" y creando efectivamente una zona de libre comercio entre Europa y Norteamérica. También desea una mayor libertad de movimiento entre Europa y Estados Unidos, permitiendo que la gente pueda trabajar en cualquier lugar sin restricciones.";CORRECTO
¿Qué presidente firmó un decreto para centralizar la regulación de la inteligencia artificial?;Donald Trump.;El presidente Donald Trump firmó un decreto para centralizar la regulación de la inteligencia artificial.;CORRECTO
¿Por qué Donald Trump quiere quitar a los estados el derecho a regular la inteligencia artificial por su cuenta?;Debe haber un único manual si queremos seguir liderando en inteligencia artificial;Según el texto, Donald Trump quiere quitar a los estados el derecho a regular la inteligencia artificial por su cuenta porque considera que debe haber un único manual para liderar en inteligencia artificial y que, con 50 estados involucrados en las reglas y el proceso de aprobación, la IA podría ser destruida en su infancia. También menciona que Estados Unidos quiere mantener el liderazgo en este terreno por razones de seguridad nacional, especialmente frente a China.;CORRECTO
¿Qué opinó Felipe González sobre el decreto de inteligencia artificial de Trump?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Por cuántas temporadas ha fichado Kylian Mbappé con el Real Madrid?;Por cinco temporadas.;Kylian Mbappé ha fichado con el Real Madrid por 5 temporadas.;CORRECTO
¿Por qué el artículo de El País dice que el comunicado del fichaje de Mbappé cayó en medio de una resaca emocional?;Porque el anuncio se hizo menos de 24 horas después de que terminaran las celebraciones por la 15ª Copa de Europa del Real Madrid.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Cuál dijo Pedro Sánchez que era su principal prioridad en la clausura del 41 Congreso Federal del PSOE?;ganar las elecciones municipales y autonómicas de 2027 y volver a gobernar en toda España;"Ganar las elecciones municipales y autonómicas de 2027 y ""volver a gobernar en toda España"".";CORRECTO
¿Cuando dimitió Pedro Sánchez como presidente?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
