﻿Pregunta;Esperada;C1_SLM_Resp;C1_Eval;C2_LLM_Resp;C2_Eval;C2B_QWEN_Resp;C2B_Eval
¿En qué fecha exacta se lanzó sin tripulación la misión Artemis I de la NASA?;El 16 de noviembre de 2022.;La misión Artemis I de la NASA se lanzó sin tripulación el 16 de noviembre de 2021.;INCORRECTO;El 16 de noviembre de 2022.;CORRECTO;La misión Artemis I se lanzó el **16 de noviembre de 2022**.;CORRECTO
¿Para qué mes y año está previsto ahora el lanzamiento de la misión Artemis II tras su aplazamiento?;Para abril de 2026.;La misión Artemis II está previsto para su lanzamiento en el año 2024.;INCORRECTO;Noviembre de 2024.;INCORRECTO;El lanzamiento de Artemis II está previsto para mayo de 2025.;INCORRECTO
¿Qué modelo de trajes espaciales usarán los astronautas de la misión Artemis III en la superficie lunar?;Los trajes AxEMU.;Los astronautas de la misión Artemis III utilizarán trajes espaciales diseñados por SpaceX, conocidos como su traje espacial Crew. Estos trajes están equipados con tecnología avanzada para la supervivencia en la superficie lunar, incluyendo sistemas de soporte vital, protección contra radiación y capacidades de movilidad mejoradas.;INCORRECTO;El traje espacial que utilizarán los astronautas de la misión Artemis III en la superficie lunar se llama Axiom Space y Exploration Extravehicular Mobility Unit (xEMU).;CORRECTO;El modelo de trajes espaciales que usarán los astronautas de la misión Artemis III en la superficie lunar es el **xEMU (Exploration Extravehicular Mobility Unit)**, diseñado específicamente para misiones lunares y desarrollado por NASA.;CORRECTO
¿En qué estado de Estados Unidos se encuentra el Centro Marshall donde los ingenieros de la NASA han realizado simulaciones acústicas?;En Alabama.;El Centro Marshall se encuentra en Alabama.;CORRECTO;Alabama.;CORRECTO;El Centro Marshall de la NASA, donde se realizan simulaciones acústicas, se encuentra en **Alabama**.;CORRECTO
Según la NASA, ¿dónde caerá exactamente la nave Orión al regresar a la Tierra tras la misión Artemis II?;En el Pacífico oriental, cerca de la costa de la ciudad de San Diego.;La nave Orión, como parte de la misión Artemis II, se espera que regrese a la Tierra en el Océano Pacífico, específicamente en el área de recuperación en el Pacífico central, cerca de la costa de California.;INCORRECTO;En el Océano Pacífico, específicamente en el área de recuperación designada por la NASA.;CORRECTO;Según la NASA, la nave Orión de la misión Artemis II regresará a la Tierra y aterrizará en el **Golfo de California**, cerca de la costa de México, tras su misión tripulada.;INCORRECTO
Según la consultora Drewry, ¿qué porcentaje exacto se elevó el flete de transporte marítimo entre Shanghái y Róterdam de enero a junio de 2024?;Un 233%.;El flete de transporte marítimo entre Shanghái y Róterdam aumentó un 12% de enero a junio de 2024.;INCORRECTO;Lo siento, no tengo acceso a información actualizada sobre el aumento del flete de transporte marítimo entre Shanghái y Róterdam de enero a junio de 2024. Mi conocimiento se basa en datos hasta diciembre de 2023.;INCORRECTO;Según Drewry, el flete entre Shanghái y Róterdam aumentó un **12.5%** de enero a junio de 2024.;INCORRECTO
Debido al desvío de barcos por el Cabo de Buena Esperanza, ¿cuántas millas náuticas se incrementa el trayecto entre Shanghái y Génova?;4.878 millas.;El desvío de barcos por el Cabo de Buena Esperanza incrementa el trayecto entre Shanghái y Génova en aproximadamente 2,000 millas náuticas.;INCORRECTO;El desvío por el Cabo de Buena Esperanza agrega alrededor de 3.800 millas náuticas al trayecto entre Shanghái y Génova.;INCORRECTO;Aproximadamente 5,000 millas náuticas.;INCORRECTO
¿Cuál fue la única de las 10 principales navieras mundiales que registró pérdidas durante el inicio de la crisis del Mar Rojo en 2024?;Maersk.;La única de las 10 principales navieras mundiales que registró pérdidas durante el inicio de la crisis del Mar Rojo en 2024 fue la MSC Cruises.;INCORRECTO;No tengo información sobre la crisis del Mar Rojo en 2024.;INCORRECTO;COSCO (China COSCO Shipping Corporation).;INCORRECTO
De acuerdo con el Banco de España, ¿cuál fue el porcentaje de retroceso de las ventas minoristas en la zona euro durante el año 2023?;Un 1% (un punto porcentual).;El Banco de España reportó un retroceso del 3.5% en las ventas minoristas en la zona euro durante el año 2023.;INCORRECTO;Lo siento, pero no tengo acceso a información en tiempo real o actualizaciones específicas del Banco de España sobre el año 2023. Te recomiendo consultar directamente el sitio web del Banco de España o fuentes financieras actualizadas para obtener la información más precisa y reciente.;INCORRECTO;El Banco de España informó que las ventas minoristas en la zona euro retrocedieron un **0,4%** en 2023 respecto a 2022.;INCORRECTO
¿Cuánto tiempo duró el atasco provocado por el megabuque Ever Given en el Canal de Suez en el año 2021?;Seis días.;El atasco provocado por el megabuque Ever Given en el Canal de Suez duró aproximadamente 6 días, desde el 23 de marzo hasta el 29 de marzo de 2021.;CORRECTO;El atasco duró 6 días.;CORRECTO;El atasco provocado por el megabuque Ever Given en el Canal de Suez en 2021 duró **6 días**.;CORRECTO
