Pregunta,Esperada,Respuesta_Generada,Evaluacion
¿A cuanto llego a subir Trump los aranceles a China?,145%., Los aranceles a China llegan a subir hasta el 145%.,CORRECTO
¿Cuánto dinero perdió Elon Musk tras el anuncio de los aranceles?,17.800 millones de dólares en dos días.," Según los datos proporcionados en la Noticia 1, Elon Musk perdió 17.800 millones de dólares tras el anuncio de los aranceles por parte del presidente Donald Trump.",CORRECTO
¿Qué opinó el Rey de España sobre los aranceles de Trump a China?,No tengo información suficiente en mis archivos., No hay información en el texto de referencia sobre la opinión del Rey de España sobre los aranceles de Trump a China.,CORRECTO
¿Qué declaraciones hizo Elon Musk sobre los aranceles de donald Trump a China?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿Qué relación quiere Elon Musk entre Estados Unidos y Europa según sus declaraciones en Italia?,Quiere una zona de libre comercio con aranceles cero.," Según las declaraciones de Elon Musk en Italia, quiere una relación entre Estados Unidos y Europa caracterizada por una mayor libertad de movimiento y comercio, con la esperanza de que ambos continentes avancen hacia una situación de arancel cero, creando así una zona de libre comercio entre ellos.",CORRECTO
¿Qué presidente firmó un decreto para centralizar la regulación de la inteligencia artificial?,Donald Trump., El presidente Donald Trump firmó un decreto para centralizar la regulación de la inteligencia artificial.,CORRECTO
¿Por qué Donald Trump quiere quitar a los estados el derecho a regular la inteligencia artificial por su cuenta?,Debe haber un único manual si queremos seguir liderando en inteligencia artificial, Donald Trump quiere quitar a los estados el derecho a regular la inteligencia artificial por su cuenta porque cree que es una actividad vital para el dominio mundial de Estados Unidos y que debe haber un único manual para seguir liderando en inteligencia artificial.,CORRECTO
¿Qué opinó Felipe González sobre el decreto de inteligencia artificial de Trump?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿Por cuántas temporadas ha fichado Kylian Mbappé con el Real Madrid?,Por cinco temporadas., Kylian Mbappé ha fichado con el Real Madrid por cinco temporadas.,CORRECTO
¿Por qué el artículo de El País dice que el comunicado del fichaje de Mbappé cayó en medio de una resaca emocional?,Porque el anuncio se hizo menos de 24 horas después de que terminaran las celebraciones por la 15ª Copa de Europa del Real Madrid.," El artículo de El País indica que el comunicado del fichaje de Mbappé cayó en medio de una resaca emocional porque la fuerte derrota ante el Arsenal (3-0) y la falta de una remontada histórica para pasar a semifinales de la Champions han dejado el ambiente muy enrarecido en el vestuario del Real Madrid. Además, el estado de nerviosismo se reflejó en el entrenamiento del viernes en una pelea entre Jude Bellingham y Antonio Rüdiger, y la falta de un referente ético en el vestuario.",CORRECTO
¿Cuál dijo Pedro Sánchez que era su principal prioridad en la clausura del 41 Congreso Federal del PSOE?,ganar las elecciones municipales y autonómicas de 2027 y volver a gobernar en toda España," Pedro Sánchez dijo que su principal prioridad en la clausura del 41 Congreso Federal del PSOE era ""ganar las elecciones municipales y autonómicas de 2027 y volver a gobernar en toda España"".",CORRECTO
¿En qué fecha dimitió Pedro Sánchez como presidente del gobierno?,No tengo información suficiente en mis archivos., Pedro Sánchez dimitió como presidente del Gobierno el 24 de abril de 2024.,INCORRECTO
¿Cuanto patrimonio tiene Elon Musk?,Mas de 400.000 millones de dólares, Elon Musk tiene un patrimonio neto de 450.000 millones de dólares.,CORRECTO
¿Por qué fue demandado Elon Musk por la Fiscalía de Filadelfia en 2024?,Porque prometió dar 1 millón de dolares a votantes de las elecciones, La Fiscalía de Filadelfia demandó a Elon Musk por interferencia electoral porque él y su comité de apoyo a Donald Trump intentaban sortear 1 millón de dólares a los votantes que se registren para votar en las elecciones del 5 de noviembre.,CORRECTO
¿Cuántos bitcoins propuso repartir Donald Trump como renta básica universal?,No tengo información suficiente en mis archivos., No tengo información suficiente en mis archivos.,CORRECTO
¿Cuántas personas murieron en la dana de Valencia?,227 personas., 227 personas,CORRECTO
